monthly_bill_amount,contract_length_months,service_calls_last_3_months,service_issues_last_3_months,total_services_subscribed,months_as_customer,avg_monthly_usage_gb,churn_status
110.54,12,3,1,2,110,461.6,No
57.2,6,0,1,4,29,416.9,No
49.49,24,0,2,3,37,27.2,Yes
91.67,12,3,0,4,48,191.1,No
113.53,6,1,1,3,117,203.9,No
75.0,12,1,0,2,72,399.2,No
147.5,6,1,3,4,75,466.2,No
109.03,24,0,2,5,26,483.9,No
82.52,12,0,0,4,104,481.5,No
70.98,24,0,1,3,49,389.8,No
64.61,12,1,0,3,37,465.7,No
114.78,1,0,2,5,90,351.5,No
77.01,12,1,4,2,11,49.6,No
27.76,24,3,2,3,31,329.5,No
71.75,12,1,1,1,56,414.0,No
115.94,6,4,2,1,77,308.7,Yes
43.72,12,2,0,4,16,90.9,No
42.81,12,2,1,4,72,361.0,Yes
89.1,6,1,2,5,23,11.8,No
89.14,1,3,2,4,93,140.9,No
102.47,24,2,1,3,52,322.4,No
130.43,24,3,1,1,63,435.0,No
114.18,12,3,1,4,112,327.4,No
99.43,12,1,1,3,108,363.9,No
113.92,24,1,2,3,81,141.1,No
61.98,12,2,1,1,70,164.2,Yes
67.03,6,1,3,2,37,186.7,Yes
49.67,24,3,1,4,39,63.8,Yes
58.18,24,1,1,3,87,47.2,Yes
102.03,12,5,1,3,105,400.7,No
31.97,6,2,0,4,6,398.5,No
76.38,6,3,2,4,84,242.6,No
76.01,12,0,3,1,62,89.2,No
84.18,24,0,2,3,114,114.1,No
75.36,6,1,1,1,6,432.1,No
60.59,1,3,2,4,35,404.6,No
75.43,6,3,0,3,100,264.3,No
136.14,1,3,3,1,72,444.8,Yes
142.74,24,0,3,1,21,90.6,No
85.24,6,5,1,1,114,454.6,No
101.11,24,3,2,2,50,17.1,No
35.03,6,2,0,2,30,268.4,No
61.25,12,0,3,2,65,241.4,Yes
73.93,12,3,1,5,5,43.3,No
132.62,1,2,1,5,35,247.9,Yes
52.56,6,2,0,5,1,28.0,No
82.79,6,0,0,1,61,28.5,No
148.12,1,2,2,1,58,391.2,No
87.53,12,1,3,2,29,490.2,No
99.68,12,2,1,2,67,67.4,Yes
35.68,12,1,0,3,59,403.4,Yes
127.42,6,0,1,2,22,75.5,No
98.4,1,0,1,4,57,126.5,No
90.86,1,2,1,1,93,331.0,Yes
64.56,12,3,0,1,70,125.6,No
59.54,6,2,1,4,7,217.3,No
74.21,12,1,0,4,47,205.2,No
108.57,24,3,0,3,119,224.9,No
133.81,12,2,2,2,15,129.8,No
86.35,1,3,2,1,55,218.5,No
107.01,12,2,4,1,28,176.7,No
96.17,1,2,1,1,28,199.8,No
101.24,24,2,1,2,41,488.8,No
107.71,6,5,0,5,23,250.0,Yes
129.5,12,0,3,4,115,8.0,Yes
30.82,12,2,1,2,70,407.2,No
119.28,6,1,1,5,6,428.3,Yes
51.68,1,1,1,4,79,42.1,No
45.25,24,2,1,1,77,184.1,Yes
94.42,12,4,1,2,48,108.4,Yes
32.44,12,2,3,5,23,3.9,No
135.09,1,1,1,4,35,389.5,No
101.54,12,4,0,1,55,426.6,No
114.04,12,2,1,5,51,312.5,No
22.1,12,1,2,2,112,246.1,Yes
97.28,6,1,2,4,58,274.4,No
92.38,1,1,0,1,92,417.3,No
40.66,1,1,0,4,65,43.1,Yes
39.9,24,2,1,4,112,111.7,No
110.42,6,2,0,1,104,399.1,No
61.44,24,4,0,2,96,64.3,No
109.96,1,1,0,3,40,482.0,Yes
92.07,12,0,3,3,28,238.6,Yes
70.56,6,1,3,3,33,134.6,No
140.27,12,1,2,2,43,386.4,No
129.42,1,1,0,1,47,104.9,No
66.46,6,3,0,2,4,370.5,No
25.67,1,1,1,3,115,95.6,No
59.62,1,1,1,4,70,124.6,No
71.76,1,2,1,5,114,301.5,Yes
111.64,1,1,1,3,96,226.9,No
149.4,12,2,2,4,102,346.7,No
66.27,6,1,1,4,112,93.7,No
119.13,6,4,1,2,28,414.6,No
97.11,1,1,1,1,32,420.0,No
109.92,1,0,0,5,27,479.1,No
39.65,6,0,2,1,15,345.6,No
71.85,6,1,0,3,33,171.3,No
51.31,24,3,1,2,25,23.3,No
64.65,6,1,1,4,67,243.1,No
86.71,6,1,2,5,102,452.3,No
106.66,12,0,0,2,27,150.1,No
33.77,6,2,1,3,20,98.3,No
37.02,6,2,1,4,114,113.3,Yes
61.86,1,1,2,3,19,345.4,No
106.0,1,2,0,1,21,72.0,No
130.05,6,1,2,2,24,225.5,No
91.92,24,2,2,2,67,274.0,Yes
